tracklet_id,linearity_metric,mag_diff,mag_min,residual,sky_sep,ab_bc_vratio
test00001,1.003767147232439,0.7572026265147223,20.301389216377228,NaN,256.9558782994063,0.000878110330271812
test00002,1.0925633153325789,0.22504896759685522,20.001238882111537,NaN,143.92032679300382,0.000767198227356307
test00003,1.0026099793096932,1.4292996479546716,20.921221510792854,NaN,369.9531607727236,0.0006317232132626883
test00004,1.0041595592883084,1.1503595115087357,20.537012361745457,NaN,14.037414271222499,8.819709648617691e-06
test00005,1.0239061731071626,0.6185549735438443,19.40879479,NaN,372.6100166513767,0.0003115279380868569
test00006,1.0008073636025745,0.6230719544240486,19.40879479,NaN,349.7435097567642,0.00040096006332404713
test00007,1.0000154647823671,0.7335986278928068,19.40879479,NaN,347.11573900138836,0.00046667922654610426
test00008,1.0899026758493684,0.7143444162524801,19.40879479,NaN,351.4409365748276,0.0003458883082745034
test00009,1.0014585709778991,0.4564541585175448,19.40879479,NaN,344.27506270351665,0.0005197087778772931
test0001a,1.0828083427390387,1.3190906242355496,20.109330440691707,NaN,351.71123823850985,0.00032768504075936564
test0001b,1.0241533351542897,1.323607605115754,20.109330440691707,NaN,341.10521807067414,0.00038480296065153836
test0001c,1.0169730011471712,1.4341342785845121,20.109330440691707,NaN,340.657297164019,0.0004505221238735955
test0001d,1.027499178371458,1.4148800669441854,20.109330440691707,NaN,372.12154716344475,0.00036204541094701217
test0001e,1.007658226547502,1.15698980920925,20.109330440691707,NaN,341.48024602169585,0.0005035516752047843
test0001f,1.0273393533154898,1.457445151086759,20.629625356062338,NaN,187.6222098554906,0.0001906554367059555
test0001g,1.0182255514727967,0.6683043493932601,19.37406544583837,NaN,202.65194024808662,0.00018366459263820356
test0001h,1.0011294745147599,0.9682108698895959,19.495383728069903,NaN,350.5644466652405,0.00018157211511100183
test0001i,1.044528326981344,1.6879649931271636,21.152202557295855,NaN,334.2848780813218,0.0007580299767125517
test0001j,1.0087544820523975,0.8346273266586159,19.57963796532687,NaN,286.128308496666,0.0009169830578993547
test0001k,1.0044218432844505,1.956461693676907,20.730103955208463,NaN,271.1575483611631,0.0005312824404353847
test0001l,1.0234993088338231,1.9445759661373572,22.31809187263025,NaN,157.14988468049629,0.0005238683502709333
test0001m,1.0422917188047889,1.4129566996647291,21.344250979410663,NaN,262.1633119477332,0.0006631398507334051
test0001n,1.0694453396211239,0.8751372442749918,20.350062137868896,NaN,293.8755372259337,0.0007562530375714374
test0001o,1.0476624499703253,1.199501833093091,21.223294712508984,NaN,170.66241936499043,3.0133785897233515e-05
test0001p,1.0014394202247925,1.5869781897236734,20.092234443711355,NaN,295.28730105164084,0.0005867112316640742
test0001q,1.0000025643611112,0.45736349113006014,20.350062137868896,NaN,165.7228011717925,2.629001171075951e-05
test0001r,1.0182406624886493,1.8847997893852337,20.390056043372915,NaN,190.84446901461922,0.000818594377456489
