,internal_id,trksub,trkid,obs80,RA,Dec,observatory_code,magnitude,band,mjd
6,395539696, C34NGF1 , 00000GXMaV , 66335         C2022 06 07.16093212 36 41.688-13 49 23.70         17.01GV~5gPd703 ,189.1737,-13.82325,703,17.01, G    ,59737.16093157407
7,395532961, C34NGG1 , 00000GXM8h , 05738         C2022 06 07.16093212 52 05.999-16 41 16.91         18.60GV~5g2a703 ,193.024995,-16.68803,703,18.6, G    ,59737.16093157407
8,395538466, C34NGE1 , 00000GXMVK , 51440         C2022 06 07.16093212 38 57.736-15 20 05.89         17.96GV~5gKy703 ,189.740565,-15.33497,703,17.96, G    ,59737.16093157407
9,395538263, C34NGH1 , 00000GXMUV , 49762         C2022 06 07.16093212 43 31.120-13 12 31.46         19.43GV~5gKB703 ,190.879665,-13.20874,703,19.43, G    ,59737.16093157407
10,395533251, C34NGJ1 , 00000GXM9r , 07341         C2022 06 07.16093212 44 29.260-14 07 58.91         19.80GV~5g3a703 ,191.121915,-14.13303,703,19.8, G    ,59737.16093157407
