,track_id,mjd,RA,Dec,magnitude,observatory_code,band
2,01170,52233.18449,355.60683333333327,25.21311111111111,13.2 ,644,g
5,01620,52233.18449,355.6606666666666,25.782833333333333,17.4 ,644,g
8,01916,52233.18449,1.1131666666666666,23.15325,16.0 ,644,g
11,07341,52233.18449,342.41179166666666,16.46847222222222,15.8 ,644,g
14,22180,52233.18449,1.8935833333333332,28.76463888888889,16.7 ,644,g
17,27655,52233.18449,4.517083333333333,28.878888888888888,17.8 ,644,g
20,27713,52233.18449,1.1329999999999998,26.626805555555556,16.9 ,644,g
23,27977,52233.18449,1.7980833333333333,23.460666666666665,17.1 ,644,g
26,28610,52233.18449,358.75262499999997,22.422472222222222,16.3 ,644,g
29,34744K01Q86S,52233.18449,356.06879166666664,20.506972222222224,17.6 ,644,g
32,46306K01OA2W,52233.18449,352.6427083333333,19.274749999999997,18.4 ,644,g
35,48833J97Y05A,52233.18449,343.5548333333333,15.014611111111112,17.5 ,644,g
38,49389J98X20S,52233.18449,1.8918749999999995,24.172833333333333,17.2 ,644,g
41,54817K01N00B,52233.18449,338.6508333333333,14.307666666666668,16.9 ,644,g
44,55182K01QS2B,52233.18449,0.5353333333333332,22.493916666666667,17.4 ,644,g
50,57290K01QG9M,52233.18449,354.25449999999995,21.347194444444444,18.3 ,644,g
53,58701J98B42R,52233.18449,344.6247499999999,20.25825,19.5 ,644,g
56,63784K01R09K,52233.18449,354.52354166666663,19.963527777777777,18.5 ,644,g
59,66092J98S00D,52233.18449,107.88987499999999,49.942361111111104,17.4 ,644,g
62,83604K01SR0G,52233.18449,2.6322499999999995,26.507361111111113,18.0 ,644,g
65,83909K01UI9B,52233.18449,357.23875,21.80488888888889,19.2 ,644,g
68,99324K01U02J,52233.18449,357.73579166666656,23.91638888888889,19.2 ,644,g
71,A8882K01OA6F,52233.18449,346.7836666666666,15.841888888888889,19.3 ,644,g
74,A9072K01Q23N,52233.18449,1.6099583333333334,27.736666666666668,15.7 ,644,g
77,A9865K01RE4Y,52233.18449,344.22708333333327,21.24638888888889,19.5 ,644,g
83,C1008J99A10K,52233.18449,351.6714583333333,21.50125,18.2 ,644,g
86,D1427K01O98W,52233.18449,1.3585416666666663,22.553083333333333,17.3 ,644,g
89,D1441K01Q82S,52233.18449,342.29162499999995,19.167250000000003,17.9 ,644,g
92,Y4342K01W15Z,52233.18449,76.08837499999998,45.922805555555556,18.0 ,644,g
95,l4277K01U01D,52233.18449,338.6622083333333,17.773,19.9 ,644,g
