,id,trksub,trkid,obs80,RA,Dec,observatory_code,magnitude,band,mjd
19, 472374685 , A10VMuP , 00000HKBtD , 55327         C2023 06 30.88672220 04 38.765-36 23 49.24         17.52oV~6wb3M22 ,301.16152,-36.39701, M22 ,17.52, Ao   ,60125.886721875
20, 472375000 , A10VMvm , 00000HKBuX , 49947         C2023 06 30.88672220 10 19.138-39 15 33.52         17.54oV~6wavM22 ,302.57974,-39.25931, M22 ,17.54, Ao   ,60125.886721875
21, 472374914 , A10VMvN , 00000HKBuB , 49662         C2023 06 30.88672220 10 18.374-39 15 54.25         17.85oV~6wavM22 ,302.57656,-39.26507, M22 ,17.85, Ao   ,60125.886721875
22, 472370683 , A10VMd3 , 00000HKBbr , 09006         C2023 06 30.88672220 02 30.444-36 12 35.78         15.88oV~6wZNM22 ,300.62685,-36.20994, M22 ,15.88, Ao   ,60125.886721875
23, 472370883 , A10VMdx , 00000HKBcl , 15562         C2023 06 30.88672220 09 42.562-38 40 51.82         16.09oV~6wZpM22 ,302.42734,-38.68106, M22 ,16.09, Ao   ,60125.886721875
24, 472370716 , A10VMdC , 00000HKBc0 , 02867         C2023 06 30.88672219 45 51.535-36 20 37.86         15.09oV~6wYMM22 ,296.46473,-36.34385, M22 ,15.09, Ao   ,60125.886721875
25, 472374006 , A10VMrV , 00000HKBqJ , 25922         C2023 06 30.88672220 05 05.777-35 13 41.92         17.26oV~6waHM22 ,301.27407,-35.22831, M22 ,17.26, Ao   ,60125.886721875
26, 503456711 , A1102re , 00000HjKU7 , 71673         C2023 06 30.88672219 48 16.248-37 41 12.08         18.04oV~7f6sM22 ,297.0677,-37.68669, M22 ,18.04, Ao   ,60125.886721875
27, 503456615 , A1102rG , 00000HjKTj , 70969         C2023 06 30.88672219 58 11.119-37 45 31.46         18.28oV~7f6DM22 ,299.54633,-37.75874, M22 ,18.28, Ao   ,60125.886721875
28, 503456943 , A1102sa , 00000HjKV3 , 71022         C2023 06 30.88672219 59 12.149-36 22 28.92         18.30oV~7f6HM22 ,299.80062,-36.3747, M22 ,18.3, Ao   ,60125.886721875
29, 503455531 , A1102mt , 00000HjKPM , 78902         C2023 06 30.88672220 09 30.178-40 09 47.66         18.04oV~7fD8M22 ,302.37574,-40.16324, M22 ,18.04, Ao   ,60125.886721875
30, 503454603 , A1102j9 , 00000HjKLc , 01566         C2023 06 30.88672219 47 12.257-37 10 16.50         17.64oV~7dSWM22 ,296.80107,-37.17125, M22 ,17.64, Ao   ,60125.886721875
31, 503457371 , A1102uJ , 00000HjKWm , A8245         C2023 06 30.88672219 50 22.169-36 48 15.41         18.39oV~7fWxM22 ,297.59237,-36.80428, M22 ,18.39, Ao   ,60125.886721875
32, 503454859 , A1102kB , 00000HjKMe , A1470         C2023 06 30.88672220 08 21.091-38 32 43.84         18.22oV~7fT7M22 ,302.08788,-38.54551, M22 ,18.22, Ao   ,60125.886721875
33, 503457323 , A1102u7 , 00000HjKWa , A4222         C2023 06 30.88672220 00 54.518-39 02 40.34         18.46oV~7fUYM22 ,300.22716,-39.04454, M22 ,18.46, Ao   ,60125.886721875
