,id,trksub,trkid,obs80,RA,Dec,observatory_code,magnitude,band,mjd
1, 503457187 , A1102tZ , 00000HjKW2 , 58032         C2023 06 30.88672219 55 02.842-38 19 45.37         18.39oV~7evEM22 ,298.76184,-38.32927, M22 ,18.39, Ao   ,60125.886721875
2, 503456227 , A1102ph , 00000HjKSA , 24038         C2023 06 30.88672220 09 59.554-38 00 17.75         18.00oV~7eANM22 ,302.49814,-38.00493, M22 ,18.0, Ao   ,60125.886721875
3, 503454303 , A1102hw , 00000HjKKP , G6673         C2023 06 30.88672219 58 56.693-36 01 59.63         18.49oV~7fwNM22 ,299.73622,-36.03323, M22 ,18.49, Ao   ,60125.886721875
4, 503454227 , A1102hd , 00000HjKK6 , O9095         C2023 06 30.88672220 02 11.117-38 06 03.89         18.02oV~7gEXM22 ,300.54632,-38.10108, M22 ,18.02, Ao   ,60125.886721875
5, 503454111 , A1102hA , 00000HjKJd , 12483         C2023 06 30.88672220 08 03.751-38 55 36.98         17.83oV~7dqWM22 ,302.01563,-38.92694, M22 ,17.83, Ao   ,60125.886721875
6, 503454163 , A1102hN , 00000HjKJq , 77510         C2023 06 30.88672219 57 38.700-35 37 44.65         17.21oV~7fBuM22 ,299.41125,-35.62907, M22 ,17.21, Ao   ,60125.886721875
7, 503454195 , A1102hV , 00000HjKJy , 92967         C2023 06 30.88672219 47 59.719-39 59 23.57         17.97oV~7fONM22 ,296.99883,-39.98988, M22 ,17.97, Ao   ,60125.886721875
8, 503456367 , A1102qG , 00000HjKSj , C8388         C2023 06 30.88672219 46 40.219-39 19 27.08         18.27oV~7fhKM22 ,296.66758,-39.32419, M22 ,18.27, Ao   ,60125.886721875
9, 503456819 , A1102s5 , 00000HjKUY , G2449         C2023 06 30.88672219 48 48.170-40 20 13.06         18.29oV~7fuzM22 ,297.20071,-40.33696, M22 ,18.29, Ao   ,60125.886721875
10, 503456919 , A1102sU , 00000HjKUx , 24031         C2023 06 30.88672220 07 30.230-38 18 33.73         18.26oV~7eAMM22 ,301.87596,-38.30937, M22 ,18.26, Ao   ,60125.886721875
11, 503453579 , A1102f1 , 00000HjKHU , 71089         C2023 06 30.88672219 46 09.574-36 20 03.30         17.40oV~7f6LM22 ,296.53989,-36.33425, M22 ,17.4, Ao   ,60125.886721875
12, 503455435 , A1102mV , 00000HjKOy , E6378         C2023 06 30.88672220 04 19.090-39 59 59.39         18.08oV~7fq0M22 ,301.07954,-39.99983, M22 ,18.08, Ao   ,60125.886721875
13, 472373187 , A10VMnx , 00000HKBml , 10060         C2023 06 30.88672219 50 30.612-38 31 16.36         16.87oV~6wZUM22 ,297.62755,-38.52121, M22 ,16.87, Ao   ,60125.886721875
14, 472371405 , A10VMgF , 00000HKBf3 , 01957         C2023 06 30.88672220 00 51.595-35 25 08.65         15.10oV~6wY4M22 ,300.21498,-35.41907, M22 ,15.1, Ao   ,60125.886721875
15, 472373004 , A10VMnC , 00000HKBm0 , 52087         C2023 06 30.88672220 08 05.782-40 27 49.10         16.52oV~6wazM22 ,302.02409,-40.46364, M22 ,16.52, Ao   ,60125.886721875
16, 472374114 , A10VMrx , 00000HKBql , 40613         C2023 06 30.88672219 51 06.046-39 50 14.75         17.04oV~6wagM22 ,297.77519,-39.83743, M22 ,17.04, Ao   ,60125.886721875
17, 472374520 , A10VMti , 00000HKBsW , 51071         C2023 06 30.88672219 45 09.132-40 31 29.46         17.02oV~6waxM22 ,296.28805,-40.52485, M22 ,17.02, Ao   ,60125.886721875
18, 472374594 , A10VMu1 , 00000HKBsp , 31323         C2023 06 30.88672219 52 31.565-38 42 02.38         17.59oV~6waUM22 ,298.13152,-38.70066, M22 ,17.59, Ao   ,60125.886721875
