,track_id,mjd,RA,Dec,magnitude,observatory_code,band
1,01170,52233.16464,355.6074166666666,25.210472222222222,13.3 ,644,g
4,01620,52233.16464,355.657875,25.785861111111114,16.9 ,644,g
7,01916,52233.16464,1.109,23.153583333333334,16.2 ,644,g
10,07341,52233.16464,342.42020833333333,16.472499999999997,15.8 ,644,g
13,22180,52233.16464,1.8939166666666662,28.767083333333332,17.0 ,644,g
16,27655,52233.16464,4.512416666666666,28.886222222222223,15.9 ,644,g
19,27713,52233.16464,1.1319166666666667,26.631944444444446,17.1 ,644,g
22,27977,52233.16464,1.7968749999999998,23.462138888888887,17.5 ,644,g
25,28610,52233.16464,358.752125,22.424166666666668,16.5 ,644,g
28,34744K01Q86S,52233.16464,356.06758333333335,20.50863888888889,17.3 ,644,g
31,46306K01OA2W,52233.16464,352.6400833333333,19.276833333333332,18.4 ,644,g
34,48833J97Y05A,52233.16464,343.55195833333323,15.01661111111111,18.0 ,644,g
37,49389J98X20S,52233.16464,1.891958333333333,24.175472222222222,17.4 ,644,g
40,54817K01N00B,52233.16464,338.643625,14.309611111111112,16.7 ,644,g
43,55182K01QS2B,52233.16464,0.534625,22.497833333333336,18.2 ,644,g
49,57290K01QG9M,52233.16464,354.25333333333333,21.349527777777777,17.9 ,644,g
52,58701J98B42R,52233.16464,344.62362499999995,20.259916666666665,19.7 ,644,g
55,63784K01R09K,52233.16464,354.5201666666666,19.9695,17.8 ,644,g
58,66092J98S00D,52233.16464,107.89116666666666,49.94177777777777,18.6 ,644,g
61,83604K01SR0G,52233.16464,2.6328749999999994,26.510694444444443,17.9 ,644,g
64,83909K01UI9B,52233.16464,357.23841666666664,21.806805555555556,18.8 ,644,g
67,99324K01U02J,52233.16464,357.73645833333325,23.916722222222223,18.8 ,644,g
70,A8882K01OA6F,52233.16464,346.78149999999994,15.842916666666667,19.1 ,644,g
73,A9072K01Q23N,52233.16464,1.6115,27.735972222222223,15.7 ,644,g
76,A9865K01RE4Y,52233.16464,344.22499999999997,21.247861111111114,18.9 ,644,g
82,C1008J99A10K,52233.16464,351.67224999999996,21.49886111111111,18.1 ,644,g
85,D1427K01O98W,52233.16464,1.3582083333333332,22.55452777777778,17.8 ,644,g
88,D1441K01Q82S,52233.16464,342.2899166666666,19.167583333333333,18.3 ,644,g
91,Y4342K01W15Z,52233.16464,76.09645833333332,45.92744444444444,17.7 ,644,g
94,l4277K01U01D,52233.16464,338.65937499999995,17.77272222222222,19.5 ,644,g
