,id,trksub,trkid,obs80,RA,Dec,observatory_code,magnitude,band,mjd
34, 503456368 , A1102qG , 00000HjKSj , C8388         C2023 06 30.88952319 46 39.936-39 19 30.47         18.41oV~7fhKM22 ,296.6664,-39.32513, M22 ,18.41, Ao   ,60125.88952349537
35, 503454228 , A1102hd , 00000HjKK6 , O9095         C2023 06 30.88952320 02 11.042-38 06 05.80         18.04oV~7gEXM22 ,300.54601,-38.10161, M22 ,18.04, Ao   ,60125.88952349537
36, 503454304 , A1102hw , 00000HjKKP , G6673         C2023 06 30.88952319 58 56.551-36 02 00.49         18.06oV~7fwNM22 ,299.73563,-36.03347, M22 ,18.06, Ao   ,60125.88952349537
37, 503454112 , A1102hA , 00000HjKJd , 12483         C2023 06 30.88952320 08 03.595-38 55 37.67         17.80oV~7dqWM22 ,302.01498,-38.92713, M22 ,17.8, Ao   ,60125.88952349537
38, 503454196 , A1102hV , 00000HjKJy , 92967         C2023 06 30.88952319 47 59.534-39 59 24.29         18.05oV~7fONM22 ,296.99806,-39.99008, M22 ,18.05, Ao   ,60125.88952349537
39, 503454604 , A1102j9 , 00000HjKLc , 01566         C2023 06 30.88952319 47 11.455-37 10 20.42         17.46oV~7dSWM22 ,296.79773,-37.17234, M22 ,17.46, Ao   ,60125.88952349537
40, 503456820 , A1102s5 , 00000HjKUY , G2449         C2023 06 30.88952319 48 48.137-40 20 13.52         18.31oV~7fuzM22 ,297.20057,-40.33709, M22 ,18.31, Ao   ,60125.88952349537
41, 503456920 , A1102sU , 00000HjKUx , 24031         C2023 06 30.88952320 07 30.043-38 18 34.20         18.08oV~7eAMM22 ,301.87518,-38.3095, M22 ,18.08, Ao   ,60125.88952349537
42, 503457372 , A1102uJ , 00000HjKWm , A8245         C2023 06 30.88952319 50 21.866-36 48 16.78         18.29oV~7fWxM22 ,297.59111,-36.80466, M22 ,18.29, Ao   ,60125.88952349537
43, 472374686 , A10VMuP , 00000HKBtD , 55327         C2023 06 30.88952320 04 38.582-36 23 50.21         17.31oV~6wb3M22 ,301.16076,-36.39728, M22 ,17.31, Ao   ,60125.88952349537
45, 503456228 , A1102ph , 00000HjKSA , 24038         C2023 06 30.88952320 09 59.412-38 00 18.32         17.89oV~7eANM22 ,302.49755,-38.00509, M22 ,17.89, Ao   ,60125.88952349537
46, 503454860 , A1102kB , 00000HjKMe , A1470         C2023 06 30.88952320 08 21.000-38 32 44.95         18.11oV~7fT7M22 ,302.0875,-38.54582, M22 ,18.11, Ao   ,60125.88952349537
48, 472371407 , A10VMgF , 00000HKBf3 , 01957         C2023 06 30.88952320 00 51.449-35 25 09.66         15.09oV~6wY4M22 ,300.21437,-35.41935, M22 ,15.09, Ao   ,60125.88952349537
49, 472370684 , A10VMd3 , 00000HKBbr , 09006         C2023 06 30.88952320 02 30.302-36 12 37.48         15.86oV~6wZNM22 ,300.62626,-36.21041, M22 ,15.86, Ao   ,60125.88952349537
51, 472370884 , A10VMdx , 00000HKBcl , 15562         C2023 06 30.88952320 09 42.422-38 40 52.61         16.04oV~6wZpM22 ,302.42676,-38.68128, M22 ,16.04, Ao   ,60125.88952349537
52, 472370717 , A10VMdC , 00000HKBc0 , 02867         C2023 06 30.88952319 45 51.372-36 20 39.52         15.23oV~6wYMM22 ,296.46405,-36.34431, M22 ,15.23, Ao   ,60125.88952349537
53, 472373005 , A10VMnC , 00000HKBm0 , 52087         C2023 06 30.88952320 08 05.602-40 27 49.25         16.56oV~6wazM22 ,302.02334,-40.46368, M22 ,16.56, Ao   ,60125.88952349537
54, 472374115 , A10VMrx , 00000HKBql , 40613         C2023 06 30.88952319 51 05.902-39 50 14.78         17.08oV~6wagM22 ,297.77459,-39.83744, M22 ,17.08, Ao   ,60125.88952349537
55, 472375002 , A10VMvm , 00000HKBuX , 49947         C2023 06 30.88952320 10 18.960-39 15 34.60         17.49oV~6wavM22 ,302.579,-39.25961, M22 ,17.49, Ao   ,60125.88952349537
57, 503453580 , A1102f1 , 00000HjKHU , 71089         C2023 06 30.88952319 46 09.430-36 20 04.67         17.51oV~7f6LM22 ,296.53929,-36.33463, M22 ,17.51, Ao   ,60125.88952349537
58, 472374521 , A10VMti , 00000HKBsW , 51071         C2023 06 30.88952319 45 08.950-40 31 29.53         16.99oV~6waxM22 ,296.28729,-40.52487, M22 ,16.99, Ao   ,60125.88952349537
60, 503457188 , A1102tZ , 00000HjKW2 , 58032         C2023 06 30.88952319 55 02.719-38 19 44.04         18.22oV~7evEM22 ,298.76133,-38.3289, M22 ,18.22, Ao   ,60125.88952349537
61, 503456616 , A1102rG , 00000HjKTj , 70969         C2023 06 30.88952319 58 10.846-37 45 33.05         18.61oV~7f6DM22 ,299.54519,-37.75918, M22 ,18.61, Ao   ,60125.88952349537
62, 503456944 , A1102sa , 00000HjKV3 , 71022         C2023 06 30.88952319 59 12.062-36 22 29.21         18.44oV~7f6HM22 ,299.80026,-36.37478, M22 ,18.44, Ao   ,60125.88952349537
63, 503456712 , A1102re , 00000HjKU7 , 71673         C2023 06 30.88952319 48 16.118-37 41 12.88         18.00oV~7f6sM22 ,297.06716,-37.68691, M22 ,18.0, Ao   ,60125.88952349537
64, 503455532 , A1102mt , 00000HjKPM , 78902         C2023 06 30.88952320 09 30.010-40 09 48.82         18.12oV~7fD8M22 ,302.37504,-40.16356, M22 ,18.12, Ao   ,60125.88952349537
65, 503454164 , A1102hN , 00000HjKJq , 77510         C2023 06 30.88952319 57 38.539-35 37 46.31         17.60oV~7fBuM22 ,299.41058,-35.62953, M22 ,17.6, Ao   ,60125.88952349537
66, 503457324 , A1102u7 , 00000HjKWa , A4222         C2023 06 30.88952320 00 54.480-39 02 40.70         18.41oV~7fUYM22 ,300.227,-39.04464, M22 ,18.41, Ao   ,60125.88952349537
67, 503455436 , A1102mV , 00000HjKOy , E6378         C2023 06 30.88952320 04 18.878-39 59 59.71         17.79oV~7fq0M22 ,301.07866,-39.99992, M22 ,17.79, Ao   ,60125.88952349537
